"","match_count_0","match_count_1","match_count_2","match_count_3","match_count_4","match_count_5","match_count_6","match_count_7","match_count_8","match_count_9","match_count_10","min_var_oset","var_iset","max_var_oset","ratio_obj_iset_oset","match_count_start_30","match_count_start_31","match_count_start_32","match_count_start_33","match_count_start_34","match_count_start_35","match_count_start_36","match_count_start_37","match_count_start_38","match_count_start_39","match_count_start_310","var_iset_start_3"
"71",0,0,0,0,0,0,0,0,0,0,1,0.0477,0.0477,0.0943,1,0,0,0,0,0,0,0,0,0,0,1,0.0477
"72",0,0,0,0,0,0,0,0,0,0,1,0.0433,0.0433,0.0654,1,0,0,0,0,0,0,0,0,0,0,1,0.0433
"73",0,0,0,0,0,0,0,0,0,0,1,0.0412,0.0412,0.0552,1,0,0,0,0,0,0,0,0,0,0,1,0.0412
"74",0,0,0,0,0,0,0,0,0,0,1,0.0424,0.0424,0.0681,1,0,0,0,0,0,0,0,0,0,0,1,0.0424
"75",0,0,0,0,0,0,0,0,0,1,0,0.0437,0.0437,0.0684,0.9998,0,0,0,0,0,0,0,0,0,1,0,0.0437
"76",0,0,0,0,0,0,0,0,0,0,1,0.0415,0.0415,0.0608,1,0,0,0,0,0,0,0,0,0,0,1,0.0415
"77",0,0,0,0,0,0,0,0,0,0,1,0.0421,0.0421,0.0552,1,0,0,0,0,0,0,0,0,0,0,1,0.0421
"78",0,0,0,0,0,0,0,0,0,0,1,0.0429,0.0429,0.0698,1,0,0,0,0,0,0,0,0,0,0,1,0.0429
"79",0,0,0,0,0,0,0,0,0,0,1,0.0441,0.0441,0.0648,1,0,0,0,0,0,0,0,0,0,0,1,0.0441
"80",0,0,0,0,0,0,0,0,0,0,1,0.0438,0.0438,0.0584,1,0,0,0,0,0,0,0,0,0,0,1,0.0438
"81",0,0,0,0,0,0,0,0,0,0,1,0.0431,0.0431,0.0612,1,0,0,0,0,0,0,0,0,0,0,1,0.0431
"82",0,0,0,0,0,0,0,0,0,0,1,0.0457,0.0457,0.0753,1,0,0,0,0,0,0,0,0,0,0,1,0.0457
"83",0,0,0,0,0,0,0,0,0,0,1,0.0486,0.0486,0.0778,1,0,0,0,0,0,0,0,0,0,0,1,0.0486
"84",0,0,0,0,0,0,0,0,0,0,1,0.041,0.041,0.0556,1,0,0,0,0,0,0,0,0,0,0,1,0.041
"85",0,0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0667,1,0,0,0,0,0,0,0,0,0,0,1,0.0427
"86",0,0,0,0,0,0,0,0,0,0,1,0.042,0.042,0.0597,1,0,0,0,0,0,0,0,0,0,0,1,0.042
"87",0,0,0,0,0,0,0,0,0,0,1,0.0413,0.0413,0.0572,1,0,0,0,0,0,0,0,0,0,0,1,0.0413
"88",0,0,0,0,0,0,0,0,0,0,1,0.042,0.042,0.0606,1,0,0,0,0,0,0,0,0,0,0,1,0.042
"89",0,0,0,0,0,0,0,0,0,0,1,0.0397,0.0397,0.0494,1,0,0,0,0,0,0,0,0,0,0,1,0.0397
"90",0,0,0,0,0,0,0,0,0,0,1,0.0436,0.0436,0.0663,1,0,0,0,0,0,0,0,0,0,0,1,0.0436
"91",0,0,0,0,0,0,0,0,0,0,1,0.0446,0.0446,0.0654,1,0,0,0,0,0,0,0,0,0,0,1,0.0446
"92",0,0,0,0,0,0,0,0,0,0,1,0.0443,0.0443,0.0762,1,0,0,0,0,0,0,0,0,0,0,1,0.0443
"93",0,0,0,0,0,0,0,0,0,0,1,0.0417,0.0417,0.0571,1,0,0,0,0,0,0,0,0,0,0,1,0.0417
"94",0,0,0,0,0,0,0,0,0,0,1,0.0411,0.0411,0.0605,1,0,0,0,0,0,0,0,0,0,0,1,0.0411
"95",0,0,0,0,0,0,0,0,0,0,1,0.044,0.044,0.0755,1,0,0,0,0,0,0,0,0,0,0,1,0.044
"96",0,0,0,0,0,0,0,0,0,0,1,0.0428,0.0428,0.0617,1,0,0,0,0,0,0,0,0,0,0,1,0.0428
"97",0,0,0,0,0,0,0,0,0,0,1,0.0455,0.0455,0.0696,1,0,0,0,0,0,0,0,0,0,0,1,0.0455
"98",0,0,0,0,0,0,0,0,0,0,1,0.0441,0.0441,0.0676,1,0,0,0,0,0,0,0,0,0,0,1,0.0441
"99",0,0,0,0,0,0,0,0,0,0,1,0.0427,0.0427,0.0608,1,0,0,0,0,0,0,0,0,0,0,1,0.0427
"100",0,0,0,0,0,0,0,0,0,0,1,0.0419,0.0419,0.0595,1,0,0,0,0,0,0,0,0,0,0,1,0.0419
