"","optim 1","optim 2","optim 3","optim 4","optim 5","ratio","sub optim 1","sub optim 2","sub optim 3","sub optim 4","sub optim 5"
"396",16,22,26,27,31,1,16,22,26,27,31
"397",18,23,43,45,49,1,18,23,43,45,49
"398",4,20,27,33,44,1,4,20,27,33,44
"399",7,18,32,40,48,1,7,18,32,40,48
"400",12,14,30,42,48,0.996,14,15,30,42,48
"401",4,14,20,22,47,1,4,14,20,22,47
"402",3,10,17,27,42,1,3,10,17,27,42
"403",5,11,33,34,40,1,5,11,33,34,40
"404",6,19,26,40,45,1,6,19,26,40,45
"405",5,10,37,40,49,1,3,10,32,37,40
"406",21,23,30,32,42,1,21,23,30,32,42
"407",12,15,19,23,40,1,12,15,19,23,40
"408",7,10,20,29,48,1,7,10,20,29,48
"409",3,4,10,27,44,1,3,4,10,27,44
"410",1,20,21,34,50,1,1,20,21,34,50
"411",9,28,30,32,50,1,9,28,30,32,50
"412",11,16,29,33,45,1,11,16,29,33,45
"413",12,14,37,39,43,1,12,14,37,39,43
"414",16,28,29,33,46,1,16,28,29,33,46
"415",5,6,10,46,50,1,5,6,10,46,50
"416",13,20,24,26,46,1,13,20,24,26,46
"417",12,23,35,39,46,1,12,23,35,39,46
"418",22,25,31,41,44,1,22,25,31,41,44
"419",14,16,20,28,32,1,14,16,20,28,32
"420",8,9,26,41,46,1,8,9,26,41,46
"421",11,18,30,35,44,1,11,18,30,35,44
"422",6,19,27,29,44,1,6,19,27,29,44
"423",7,15,27,32,46,1,7,15,27,32,46
"424",1,2,12,23,38,1,1,2,12,23,38
"425",6,22,28,32,41,1,6,22,28,32,41
"426",16,35,36,49,50,1,16,35,36,49,50
"427",8,17,38,43,47,1,8,17,38,43,47
"428",3,10,16,38,39,1,3,10,16,38,39
"429",22,30,33,45,46,1,22,30,33,45,46
"430",4,17,27,31,42,1,4,17,27,31,42
"431",5,15,17,23,48,1,5,15,17,23,48
"432",4,6,7,12,28,1,4,6,7,12,28
"433",15,30,40,46,49,1,15,30,40,46,49
"434",11,15,34,35,50,1,11,15,34,35,50
"435",13,19,21,33,50,1,13,19,21,33,50
"436",2,14,22,32,49,1,2,14,22,32,49
"437",10,17,22,23,38,1,10,17,22,23,38
"438",11,27,31,43,49,1,11,27,31,43,49
"439",1,19,39,42,47,1,1,19,39,42,47
"440",8,9,33,37,47,1,8,9,33,37,47
"441",17,22,27,29,41,1,17,22,27,29,41
"442",2,4,19,22,37,1,2,4,19,22,37
"443",2,9,11,19,40,1,2,9,11,19,40
"444",1,22,31,42,47,1,1,22,31,42,47
"445",7,13,16,23,39,1,7,13,16,23,39
"446",2,11,12,32,34,1,2,11,12,32,34
"447",35,36,37,42,46,1,35,36,37,42,46
"448",4,5,38,46,48,1,4,5,38,46,48
"449",7,22,33,46,50,1,7,22,33,46,50
"450",1,13,23,25,50,1,1,13,23,25,50
"451",20,25,38,48,49,1,20,25,38,48,49
"452",20,21,24,32,35,1,20,21,24,32,35
"453",1,11,41,45,46,1,1,11,41,45,46
"454",4,7,11,33,39,1,4,7,11,33,39
"455",11,14,22,31,41,1,11,14,22,31,41
"456",5,21,26,31,33,1,5,21,26,31,33
"457",2,5,35,36,48,1,2,5,35,36,48
"458",11,13,17,28,40,1,11,13,17,28,40
"459",15,16,36,40,45,1,15,16,36,40,45
"460",1,13,17,19,47,1,1,13,17,19,47
"461",17,26,39,44,50,1,17,26,39,44,50
"462",9,13,20,36,43,1,9,13,20,36,43
"463",13,17,26,29,43,1,13,17,26,29,43
"464",3,5,25,28,48,1,3,5,25,28,48
"465",13,20,27,28,31,1,13,20,27,28,31
"466",1,15,24,28,33,1,1,15,24,28,33
"467",3,5,17,28,43,1,3,5,17,28,43
"468",3,7,15,30,46,1,3,7,15,30,46
"469",10,23,26,34,44,1,10,23,26,34,44
"470",2,10,13,23,46,1,2,10,13,23,46
"471",16,22,26,34,49,1,16,22,26,34,49
"472",6,25,26,28,34,1,6,25,26,28,34
"473",14,33,37,42,43,1,14,33,37,42,43
"474",3,14,22,28,49,1,3,14,22,28,49
"475",3,11,17,34,39,1,3,11,17,34,39
"476",16,33,38,46,50,1,16,33,38,46,50
"477",3,6,8,36,46,1,3,6,8,36,46
"478",5,20,36,39,44,1,5,20,36,39,44
"479",1,28,29,39,41,1,1,28,29,39,41
"480",11,21,28,29,37,1,11,21,28,29,37
"481",16,25,27,47,49,1,16,25,27,47,49
"482",13,20,29,32,46,1,13,20,29,32,46
"483",1,9,10,38,48,0.989,1,9,10,11,48
"484",21,25,29,32,33,1,21,25,29,32,33
"485",11,16,22,31,35,1,11,16,22,31,35
